id,calories,protein,fat,carbs
dish_1558114145,57.27,0.581,0.166,14.940001
dish_1558372650,57.27,0.581,0.166,14.940001
dish_1562788732,57.292805,7.842129,6.662716,2.814716
dish_1565035774,57.5,3.129,0.441,12.25
dish_1563393244,57.550003,3.229667,0.519667,11.570667
dish_1563897794,57.57,0.707,0.303,14.14
dish_1562008936,57.639999,4.192,2.751,5.633
dish_1561576618,57.924408,1.749612,2.318721,8.419776
dish_1568313575,57.940002,2.789,3.619,5.93
dish_1561578188,57.990978,2.82298,1.453176,10.810784
dish_1559932674,58.279999,1.116,0.124,14.88
dish_1561134128,58.5,0.906,0.342,14.556
dish_1563824279,58.599998,0.761,3.895,6.138
dish_1558459462,58.650002,0.595,0.17,15.3
dish_1560366410,58.741066,2.187943,4.515482,3.791994
dish_1567023132,59.200001,1.024,4.324,5.028
dish_1558640979,59.279999,1.615,0.359,13.95
dish_1563822597,59.400002,4.106667,2.170667,7.626667
dish_1558638983,59.416,1.736,1.344,12.32
dish_1558640477,59.416,1.736,1.344,12.32
dish_1558641416,59.416,1.736,1.344,12.32
dish_1563309285,59.450005,1.768,3.721,6.603
dish_1562700906,59.639149,3.038182,1.697486,9.371578
dish_1559238481,59.689999,1.143,0.127,15.24
dish_1559245848,59.689999,1.143,0.127,15.24
dish_1561654326,59.79258,1.472,3.205161,7.079548
dish_1561739930,60.040001,0.79,0.0,14.22
dish_1559239256,60.16,1.152,0.128,15.36
dish_1559239912,60.16,1.152,0.128,15.36
dish_1559240908,60.16,1.152,0.128,15.36
dish_1560455090,60.200001,7.683,0.966,5.679
dish_1558639335,60.32,0.348,0.232,16.24
dish_1558639440,60.32,0.348,0.232,16.24
dish_1558640074,60.32,0.348,0.232,16.24
dish_1558640593,60.32,0.348,0.232,16.24
dish_1558640614,60.32,0.348,0.232,16.24
dish_1563827425,60.720001,4.416,2.898,5.934
dish_1558457415,60.799999,0.8,0.0,14.400001
dish_1558636763,60.839996,0.351,0.234,16.379999
dish_1558638137,60.839996,0.351,0.234,16.379999
dish_1558640604,60.839996,0.351,0.234,16.379999
dish_1558641037,60.839996,0.351,0.234,16.379999
dish_1560455380,60.97168,1.747126,4.982589,3.574773
dish_1559245801,60.989998,0.749,0.321,14.98
dish_1567106646,61.040001,2.557,0.347,13.602001
dish_1559700851,61.089886,1.151647,5.827236,1.897059
dish_1561574394,61.502373,2.367952,4.80367,3.438416
dish_1559238993,61.559998,0.756,0.324,15.12
dish_1565798531,61.576214,0.83088,5.820787,2.255222
dish_1559843690,61.740002,1.751,0.342,14.05
dish_1557861837,61.883999,8.698,5.827,4.46
dish_1558642490,61.950001,2.511,0.466,14.1
dish_1563566626,62.099998,0.432,5.778,3.402
dish_1559238566,62.130001,0.763,0.327,15.26
dish_1562945823,62.19532,1.383,2.125645,10.413193
dish_1560444914,62.340004,0.906,0.242,15.915999
dish_1563208412,62.400002,5.46,3.9,1.17
dish_1565030350,62.585663,0.844501,5.91621,2.292192
dish_1564170141,62.68,1.235,3.591,7.74
dish_1566502000,63.008781,2.692683,4.846829,3.949269
dish_1566835603,63.166828,0.643902,1.609756,11.590244
dish_1558640267,63.48,0.644,0.184,16.560001
dish_1558463113,63.579998,1.743,0.321,14.696001
dish_1559674689,63.720001,0.885,0.177,15.93
dish_1561739576,63.84,0.84,0.0,15.120001
dish_1558028772,64.0,1.208,0.253,15.76
dish_1562008738,64.066612,2.1365,4.61,5.137444
dish_1562873187,64.216751,4.02645,2.404025,9.26375
dish_1568056019,64.300003,1.235,3.578,8.121
dish_1559843185,64.349998,1.707,0.514,15.219999
dish_1565207631,64.405495,3.30245,1.999056,8.169447
dish_1561480391,64.409996,0.791,0.339,15.82
dish_1558115448,64.860001,0.658,0.188,16.92
dish_1559233627,64.919998,4.44,5.04,0.168
dish_1562949162,64.919998,4.44,5.04,0.168
dish_1563294441,65.199997,0.889,0.241,16.793999
dish_1566501324,65.269997,1.051,2.926,10.038
dish_1567625343,65.480003,1.711,4.989,5.547
dish_1563565683,65.742775,8.658039,7.585437,2.142221
dish_1563897047,66.040001,12.7,0.254,0.889
dish_1562876531,66.066925,8.375736,2.410626,3.079953
dish_1566934057,66.090729,2.82439,5.083902,4.142439
dish_1560543505,66.18,3.129,2.282,9.771001
dish_1559844928,66.220001,1.72,0.086,14.62
dish_1559845290,66.220001,1.72,0.086,14.62
dish_1560441529,66.419998,1.009,0.325,16.469999
dish_1560526408,67.098175,1.344815,6.105806,2.743767
dish_1562788010,67.643532,2.97953,1.845235,11.571823
dish_1558030182,67.759995,1.76,0.088,14.96
dish_1563479526,67.844879,1.291098,4.713103,5.867841
dish_1568664931,67.877647,1.279608,6.474706,2.107843
dish_1558639876,68.18,2.767,0.529,15.370001
dish_1562949494,68.545609,1.592659,2.127585,12.325366
dish_1562690047,68.642334,0.926227,6.488747,2.514018
dish_1562702355,68.882935,1.640872,5.822042,3.473425
dish_1565627751,68.909271,0.702439,1.756098,12.643903
dish_1562086037,68.970001,0.847,0.363,16.940001
dish_1558373352,69.0,0.7,0.2,18.0
dish_1562690917,69.061707,1.461342,1.301829,14.426828
dish_1560455158,69.12085,1.433316,5.892522,3.531324
dish_1565035802,69.200005,3.714,0.571,14.785
dish_1560369102,69.738571,2.574234,5.188934,4.877475
dish_1562009098,70.080002,7.68,4.608,1.824
dish_1558546918,70.199997,1.458,0.162,15.12
dish_1558628339,70.330002,4.81,5.46,0.182
dish_1559319860,70.330002,4.81,5.46,0.182
dish_1567538263,70.70092,1.873404,4.997894,5.491088
dish_1560800918,70.825645,1.983562,3.925041,7.729096
dish_1558637865,71.086998,2.077,1.608,14.74
dish_1568313640,71.139999,3.152,3.652,8.9
dish_1560788338,71.268997,12.1,0.484,4.356
dish_1556575014,71.299995,0.496,6.634,3.906
dish_1559059992,71.440002,0.94,0.0,16.92
dish_1560366438,71.93322,2.5801,4.986071,6.105719
dish_1558632080,72.148003,2.108,1.632,14.96
dish_1566844766,72.159996,5.248,3.444,7.052
dish_1567023262,72.32,2.048,6.016,3.008
dish_1564689078,72.360779,1.450291,6.584693,2.958964
dish_1563909469,72.402824,1.364915,6.906353,2.248366
dish_1568405183,72.402832,1.364915,6.906353,2.248366
dish_1561580628,72.434044,2.701085,4.653638,6.681383
dish_1566838286,72.5,0.725,0.145,18.849998
dish_1560787754,72.639999,3.017,3.123,8.638
dish_1559244417,72.832504,1.415911,6.920829,2.375517
dish_1568649354,72.870728,1.740146,1.676927,14.402927
dish_1565812146,72.94017,1.148946,4.27988,8.859468
dish_1559319971,72.959999,0.96,0.0,17.280001
dish_1567007814,73.0,1.109,0.398,17.92
dish_1562774129,73.083549,1.539,2.898097,11.336127
dish_1559841808,73.110001,1.29,0.57,17.379999
dish_1558549086,73.150002,1.9,0.095,16.15
dish_1559240510,73.51651,3.126161,1.063909,15.542887
dish_1559841023,73.599998,6.44,4.6,1.38
dish_1565208611,73.669174,5.120261,2.763648,9.719893
dish_1558373074,73.839996,19.879999,0.284,0.426
dish_1558375506,73.839996,19.879999,0.284,0.426
dish_1558545738,73.839996,0.426,0.284,19.879999
dish_1558550079,73.839996,0.426,0.284,19.879999
dish_1558629677,73.839996,0.426,0.284,19.879999
dish_1558630176,73.839996,0.426,0.284,19.879999
dish_1558630600,73.839996,0.426,0.284,19.879999
dish_1558630867,73.839996,0.426,0.284,19.879999
dish_1558717604,73.839996,0.426,0.284,19.879999
dish_1558717886,73.839996,0.426,0.284,19.879999
dish_1558719066,73.839996,0.426,0.284,19.879999
dish_1558719377,73.839996,0.426,0.284,19.879999
dish_1558720364,73.839996,0.426,0.284,19.879999
dish_1563908957,73.872749,4.40885,3.572825,8.02375
dish_1561407249,73.879166,7.992981,3.48629,2.528108
dish_1558547008,73.919998,1.92,0.096,16.32
dish_1561665378,74.269997,2.17,1.68,15.4
dish_1563475826,74.279999,0.88,0.176,18.959999
dish_1558109945,74.360001,20.02,0.286,0.429
dish_1558114086,74.360001,20.02,0.286,0.429
dish_1558372433,74.360001,20.02,0.286,0.429
dish_1558376768,74.360001,20.02,0.286,0.429
dish_1558379588,74.360001,20.02,0.286,0.429
dish_1558380152,74.360001,20.02,0.286,0.429
dish_1565196260,74.360001,14.3,0.286,1.001
dish_1558458847,74.360001,0.429,0.286,20.02
dish_1558719570,74.360001,0.429,0.286,20.02
dish_1558721726,74.360001,0.429,0.286,20.02
dish_1558721904,74.360001,0.429,0.286,20.02
dish_1558723449,74.360001,0.429,0.286,20.02
dish_1558723777,74.360001,0.429,0.286,20.02
dish_1566502437,74.564041,1.711664,6.415376,3.824625
dish_1565799507,74.651711,0.760976,1.902439,13.697562
dish_1566415520,74.824753,2.50965,3.714425,9.75975
dish_1561574815,74.852959,1.653304,6.637806,3.246844
dish_1558115282,74.879997,20.16,0.288,0.432
dish_1558116547,74.879997,20.16,0.288,0.432
dish_1557863056,75.200005,0.94,7.05,4.23
dish_1558468401,75.200005,0.94,7.05,4.23
dish_1560973936,75.243256,1.078271,5.829186,6.022747
dish_1563550584,75.399994,14.5,0.29,1.015
dish_1566501352,75.529999,1.564,3.04,12.261001
dish_1562783605,75.599998,5.94,1.08,14.309999
dish_1562790775,75.686295,0.394182,7.803151,1.519515
dish_1562873790,75.70845,1.021574,7.156705,2.772813
dish_1562603536,75.739998,5.18,5.88,0.196
dish_1563824304,75.800003,1.621,3.981,10.008
dish_1559678083,75.812004,0.998628,7.072568,2.976039
dish_1560367904,76.023148,10.405902,8.840912,3.734912
dish_1558116146,76.589996,0.777,0.222,19.980001
dish_1567785130,76.690483,1.888,4.110968,9.08029
dish_1561576449,77.0,5.544,0.924,15.400001
dish_1566849862,77.049995,0.536,7.169,4.221
dish_1558640105,77.453003,2.263,1.752,16.059999
dish_1560367085,77.559998,4.983,2.669,10.636
dish_1565725047,77.659996,0.946,4.84,9.372
dish_1566416339,77.979889,2.489692,3.410321,11.653813
dish_1561579576,78.00235,3.650353,2.036824,14.455882
dish_1558381742,78.199997,0.544,7.276,4.284
dish_1561576916,78.457687,1.684707,6.535353,4.77204
dish_1558635489,78.514,2.294,1.776,16.280001
dish_1560788349,78.925995,13.400001,0.536,4.824
dish_1561654346,79.195488,2.744276,3.691355,10.449209
dish_1564170173,79.880005,2.095,3.677,11.610001
dish_1558631904,80.079994,0.462,0.308,21.559999
dish_1558636483,80.079994,0.462,0.308,21.559999
dish_1558637351,80.079994,0.462,0.308,21.559999
dish_1558637769,80.079994,0.462,0.308,21.559999
dish_1558638844,80.079994,0.462,0.308,21.559999
dish_1558639167,80.079994,0.462,0.308,21.559999
dish_1558640450,80.079994,0.462,0.308,21.559999
dish_1558640781,80.079994,0.462,0.308,21.559999
dish_1558641164,80.079994,0.462,0.308,21.559999
dish_1558641926,80.079994,0.462,0.308,21.559999
dish_1562949205,80.220001,4.8,5.13,3.768
dish_1567106668,80.309998,2.98,0.441,18.302002
dish_1558027057,80.665001,1.04,0.13,19.110001
dish_1563813806,81.119995,15.6,0.312,1.092
dish_1564588820,81.119995,15.6,0.312,1.092
dish_1558030910,81.149994,5.55,6.3,0.21
dish_1562173742,81.149994,5.55,6.3,0.21
dish_1566851115,81.554428,1.872132,7.016817,4.183183
dish_1559674781,81.660004,1.067,0.229,20.610001
dish_1561492665,81.950653,10.342231,8.595007,4.689008
dish_1566488905,82.308296,0.839024,2.097561,15.10244
dish_1561405836,82.429001,3.472,2.914,10.385
dish_1566934085,82.590729,4.01239,5.281902,7.442439
dish_1559846688,82.832451,1.291914,7.752181,3.110637
dish_1563305883,83.052505,2.14745,7.017997,4.055908
dish_1558722207,83.199997,0.48,0.32,22.4
dish_1560543525,83.43,3.249,3.887,10.716001
dish_1559844479,83.449997,0.983,0.318,21.34
dish_1559233715,83.599998,1.1,0.0,19.800001
dish_1563479568,83.673561,2.329007,5.109736,8.616775
dish_1568405405,83.715767,1.578183,7.985471,2.599673
dish_1558722398,83.719994,0.483,0.322,22.540001
dish_1558724766,83.719994,0.483,0.322,22.540001
dish_1558724891,83.719994,0.483,0.322,22.540001
dish_1560442226,83.790001,1.029,0.441,20.58
dish_1562613867,83.886055,1.830647,5.606607,7.847055
dish_1561574428,84.002373,3.987952,5.07367,7.938416
dish_1561392734,84.239998,1.28,0.488,20.936001
dish_1563391375,84.283714,8.285326,7.774208,5.039431
dish_1563565720,84.662781,11.324039,7.843437,4.980221
dish_1565724050,84.722847,1.382376,7.981188,3.010693
dish_1558637896,84.870003,0.861,0.246,22.140001
dish_1563824339,85.339996,2.098,4.087,12.075
dish_1562787745,85.357742,1.862764,5.704968,7.984723
dish_1558115241,85.470001,2.22,0.111,18.870001
dish_1558115601,85.470001,2.22,0.111,18.870001
dish_1558110436,85.629005,1.104,0.138,20.285999
dish_1567801468,86.239998,6.272,4.116,8.428
dish_1558630450,86.25,0.875,0.25,22.5
dish_1563389114,86.534439,2.577627,4.405479,11.310716
dish_1562702091,86.534729,2.838268,5.066993,9.079793
dish_1563827454,86.570007,6.029334,3.301333,10.737333
dish_1562691383,86.870003,1.12,0.14,20.58
dish_1564675380,87.331001,6.693,6.463,0.713
dish_1558461607,87.629997,0.889,0.254,22.860001
dish_1562947598,87.720001,2.064,0.516,20.639999
dish_1566934366,87.746994,3.696,3.102,11.055
dish_1560442450,87.761002,14.900001,0.596,5.364
dish_1560527745,87.761002,14.900001,0.596,5.364
dish_1560543557,87.869995,3.353,3.923,11.636001
dish_1562860723,87.909996,1.026,0.386,21.93
dish_1568056046,88.080002,1.757,3.694,13.921
dish_1565798558,88.315727,1.954783,7.178836,5.533271
dish_1559925174,88.349998,1.085,0.465,21.700001
dish_1558029230,88.549995,2.3,0.115,19.550001
dish_1562183125,88.552399,3.754251,6.881025,5.217036
dish_1560526447,88.592773,1.750025,8.15613,3.411251
dish_1561407283,88.626671,8.259524,3.841226,5.487313
dish_1563565761,88.662773,11.434039,7.853437,5.880221
dish_1558638954,89.010002,0.903,0.258,23.220001
dish_1566589933,89.060005,9.76,5.856,2.318
dish_1567022212,89.110001,2.332,4.069,13.351
dish_1558030832,89.352005,1.152,0.144,21.167999
dish_1559678629,89.376663,9.622075,8.445811,6.143951
dish_1560370137,89.644272,2.551919,7.00289,5.694383
dish_1563305913,89.652504,3.07745,7.107997,5.045908
dish_1563393366,89.85463,9.442002,7.287953,7.559166
dish_1565109606,89.964882,0.917073,2.292683,16.507318
dish_1562613010,90.271996,18.848,0.608,1.696
dish_1565020796,90.599998,12.06,3.542,0.749
dish_1560442374,90.637001,1.165,0.233,21.202999
dish_1562774159,90.76355,1.955,3.002097,15.496128
dish_1562959517,91.140381,1.629955,7.215058,5.974161
dish_1562775488,91.239998,8.56,0.158,12.433001
dish_1562945851,91.26532,1.74,2.278645,17.553192
dish_1561576652,91.424408,4.161612,2.720721,15.119776
dish_1560529844,91.68,1.278,0.3,22.296
dish_1558116436,91.970001,6.29,7.14,0.238
dish_1562085132,91.970001,6.29,7.14,0.238
dish_1563464389,91.970001,6.29,7.14,0.238
dish_1565021965,92.039993,17.700001,0.354,1.239
dish_1560369122,92.058571,2.884234,5.250934,10.457476
dish_1564690038,92.339996,7.29,0.324,16.200001
dish_1565378680,92.418648,3.302913,2.752427,15.020389
dish_1558378516,92.459999,0.938,0.268,24.120001
dish_1558380014,92.459999,0.938,0.268,24.120001
dish_1562775212,92.480003,3.264,1.904,16.32
dish_1560453275,92.554443,14.971699,2.703752,1.252969
dish_1560527105,92.725296,2.126438,3.845912,12.959577
dish_1563475874,93.029999,2.23,0.401,22.709999
dish_1565123783,93.064995,3.92,3.29,11.725
dish_1562786103,93.081001,2.337,3.363,13.965
dish_1563468240,93.100006,1.327,0.371,23.941999
dish_1561574215,93.235489,2.220979,7.88034,4.701405
dish_1565984299,93.343513,4.653013,1.582832,18.693933
dish_1563565289,93.367996,2.728,2.112,19.360001
dish_1568666263,93.400002,7.172,0.852,19.77
dish_1565637548,93.436127,2.245049,2.244349,16.65864
dish_1567020340,93.588287,3.933659,4.75317,11.47317
dish_1560357427,93.749001,1.205,0.241,21.931
dish_1567021799,93.81813,1.823886,8.914966,3.059988
dish_1566417442,93.830536,1.890686,6.675509,8.566475
dish_1558635994,93.839996,0.952,0.272,24.480001
dish_1561060925,93.914848,8.246765,4.284307,9.30445
dish_1562615103,94.288544,1.962835,6.186012,8.580285
dish_1559845370,94.309998,2.144,0.245,21.51
dish_1558381860,94.400002,1.18,8.85,5.31
dish_1562008429,94.465088,9.056995,5.511408,1.765067
dish_1560445069,94.527,1.215,0.243,22.112999
dish_1566849233,94.800003,2.48,7.33,7.94
dish_1562096584,94.99057,2.650751,4.666848,11.278716
dish_1560541680,95.052574,1.847884,9.032269,3.100251
dish_1562168696,95.114838,1.705,2.474677,18.134903
dish_1558720396,95.489998,2.79,2.16,19.799999
dish_1558721587,95.489998,2.79,2.16,19.799999
dish_1558722906,95.489998,2.79,2.16,19.799999
dish_1558723695,95.489998,2.79,2.16,19.799999
dish_1561663817,95.495369,2.099187,4.993594,12.891619
dish_1562009120,95.610138,9.354047,5.247729,6.257764
dish_1563217774,96.138458,5.178558,3.161575,15.4723
dish_1564691380,96.261002,2.903,2.743,18.35
dish_1559841061,96.389999,7.182,4.865,6.256
dish_1561662358,96.551003,2.821,2.184,20.02
dish_1558641108,96.62999,1.485,0.486,24.771
dish_1565895879,96.681755,5.10345,3.165525,15.13875
dish_1558640705,96.759995,1.315,0.468,24.737
dish_1560975572,96.990005,5.584,2.158,16.068001
dish_1561739188,97.089996,1.247,0.183,23.299999
dish_1562960437,97.290001,1.449,4.692,12.42
dish_1564503184,97.379997,6.66,7.56,0.252
dish_1558548666,97.5,2.025,0.225,21.0
dish_1558549605,97.5,2.025,0.225,21.0
dish_1561404956,97.600792,13.654346,2.638521,4.593264
dish_1563206562,98.208679,0.833962,3.913208,15.203773
dish_1561577083,98.382996,4.144,3.478,12.395
dish_1562099053,98.382996,4.144,3.478,12.395
dish_1562699612,98.391266,2.793359,2.671786,15.661942
dish_1560799113,98.420006,4.07,3.589,12.21
dish_1563996279,98.490021,3.910173,1.893741,19.73682
dish_1565195362,98.578537,1.004878,2.512195,18.087807
dish_1559844506,98.959999,1.312,0.459,25.1
dish_1561740385,99.374557,1.758757,6.882791,9.440247
dish_1562009314,99.567535,6.528783,2.494945,17.291681
dish_1565981802,99.754425,8.817584,5.596065,6.631088
dish_1558721434,99.900002,3.759,0.778,22.713001
dish_1559678104,99.962006,2.654628,7.348568,7.806039
dish_1563996464,100.489189,3.017902,7.867642,6.667095
dish_1562963484,100.539413,2.084824,8.570941,5.136471
dish_1558629715,100.539993,2.376,0.614,25.174999
dish_1560874667,100.550003,4.574,4.836,10.234
dish_1561665024,100.570984,2.141329,6.984664,8.948565
dish_1562691566,100.613655,11.730732,2.766634,6.886634
dish_1562702379,100.882935,3.944872,6.206042,9.873425
dish_1563566674,100.893005,1.818408,6.93334,9.706854
dish_1567110519,100.944618,1.362099,9.542274,3.697084
dish_1567801716,101.042,4.256,3.572,12.73
dish_1561062171,101.142975,7.957409,4.821342,5.760973
dish_1566847431,101.240509,3.76984,1.923067,17.232075
dish_1563910106,101.457962,1.529208,7.423245,8.096603
dish_1562775110,101.520004,1.41,0.282,25.380001
dish_1560802730,101.702484,16.082962,2.801806,2.26971
dish_1565726848,102.105309,2.597133,8.046616,6.780674
dish_1567106794,102.338257,2.020698,10.138825,1.695728
dish_1563897087,102.440002,15.196,0.67,8.169001
dish_1558459276,102.699997,2.133,0.237,22.120001
dish_1560800951,102.825645,4.287562,4.309042,14.129096
dish_1566488928,103.048294,1.327024,2.219561,19.982441
dish_1563393403,103.154633,10.354001,7.439952,10.219167
dish_1562947409,103.190002,1.184,0.424,25.869999
dish_1556575386,103.299995,2.868,6.882,10.618
dish_1556575446,103.299995,2.868,6.882,10.618
dish_1556575499,103.299995,2.868,6.882,10.618
dish_1556575273,103.300003,2.868,6.882,10.618
dish_1556575327,103.300003,2.868,6.882,10.618
dish_1556575558,103.300003,2.868,6.882,10.618
dish_1560455179,103.320847,1.908316,5.987522,12.081323
dish_1558641442,103.386002,3.946,1.751,21.809999
dish_1562956486,103.660004,11.36,6.816,2.698
dish_1562790170,103.693726,2.015873,9.853384,3.382092
dish_1559838279,103.699997,3.702,3.678,14.952001
dish_1564777933,103.700996,4.368,3.666,13.065001
dish_1557862345,103.949997,19.530001,2.268,0.0
dish_1558114523,104.057999,4.032,8.91,4.086
dish_1563479596,104.373558,3.778007,5.351235,12.756775
dish_1558640849,105.23999,1.74,0.534,27.059999
dish_1566414611,105.599998,19.84,2.304,0.0
dish_1561492687,105.605652,11.047231,8.925008,9.174008
dish_1558640311,105.879997,2.242,0.552,26.114
dish_1558640373,105.880005,2.242,0.552,26.114
dish_1561575908,106.360001,4.48,3.76,13.400001
dish_1562873814,106.580215,2.057024,8.689231,6.799564
dish_1557937758,106.782997,3.53,2.262,18.932001
dish_1559845399,107.18,2.417,0.362,24.630001
dish_1567023296,107.181221,2.684054,9.341188,4.171472
dish_1567107049,107.202995,1.426,6.624,11.454
dish_1567628069,107.433014,2.344513,7.180391,10.049737
dish_1559678651,107.856659,10.966075,9.32781,7.949951
dish_1559059924,108.199997,7.4,8.4,0.28
dish_1559059954,108.199997,7.4,8.4,0.28
dish_1559844490,108.360001,1.359,0.459,27.450001
dish_1562183151,108.392403,4.906251,6.945024,9.697037
dish_1560799368,108.403069,10.820528,6.012894,1.962151
dish_1560367116,108.409973,9.205687,6.256616,12.151617
dish_1560787781,108.628998,3.481,3.181,17.164
dish_1559678127,108.642006,3.004627,7.418569,9.871039
dish_1564073677,108.967804,4.507317,5.668293,9.771708
dish_1561060448,109.018997,4.592,3.854,13.735001
dish_1562690950,109.061714,1.861341,1.381829,24.826828
dish_1562958998,109.093597,13.567006,12.07743,4.164993
dish_1567537422,109.319298,3.267302,6.288338,12.18853
dish_1565725071,109.659996,2.546,5.0,16.572001
dish_1562099076,110.181,4.357234,3.761948,14.762364
dish_1560541706,110.802574,2.981884,9.221268,6.250251
dish_1560799277,111.020004,4.934,3.733,14.73
dish_1560788384,111.198997,12.947001,0.847,14.035999
dish_1559843222,111.269997,2.183,0.65,27.460001
dish_1563824130,111.319603,3.990974,1.123033,21.762623
dish_1567020366,111.459381,5.105492,5.200981,14.576805
dish_1568319725,111.637299,0.581418,11.509647,2.241285
dish_1567110756,111.720001,4.62,4.074,13.860001
dish_1562613285,111.744507,2.126515,7.762758,9.66468
dish_1560802764,111.832207,16.39369,3.250635,3.44357
dish_1567022251,111.910004,2.959,4.126,18.481001
dish_1558628888,111.959999,9.0,7.56,0.864
dish_1566849895,112.309998,1.31,7.341,12.821001
dish_1560444931,112.660004,4.306,3.982,16.460001
dish_1563811412,112.839996,21.700001,0.434,1.519
dish_1563812508,112.839996,21.700001,0.434,1.519
dish_1565207865,112.960785,4.252189,5.843282,13.839738
dish_1566850099,113.057968,1.525551,10.687347,4.140735
dish_1559244305,113.066399,3.483331,7.04521,9.832837
dish_1560444724,113.280006,1.885,0.513,28.49
dish_1558718610,113.527,3.317,2.568,23.539999
dish_1558723818,113.527,3.317,2.568,23.539999
dish_1558725786,113.527,3.317,2.568,23.539999
dish_1562688382,113.599998,9.94,7.1,2.13
dish_1560526472,113.672775,2.058025,8.28813,9.571251
dish_1564428404,113.751038,1.598034,9.80839,6.298835
dish_1558381840,113.849998,21.389999,2.484,0.0
dish_1565813386,113.880005,12.48,7.488,2.964
dish_1559062005,113.909996,8.73,8.429999,0.93
dish_1562787783,114.013741,2.312764,6.586968,12.592723
dish_1566838317,114.199997,1.559,0.423,29.413998
dish_1562775510,114.217117,10.066643,0.733756,16.423389
dish_1561666761,114.336998,4.816,4.042,14.405001
dish_1562876618,114.336998,4.816,4.042,14.405001
dish_1563553735,114.385803,2.816,6.131613,13.543484
dish_1562788506,114.587997,3.348,2.592,23.76
dish_1559841870,114.972008,0.804,0.201,30.551998
dish_1559846311,114.972008,0.804,0.201,30.551998
dish_1559846450,114.972008,0.804,0.201,30.551998
dish_1559846585,114.972008,0.804,0.201,30.551998
dish_1559933818,115.066795,5.03466,6.580434,12.20121
dish_1560455203,115.100845,2.592316,6.025522,14.741324
dish_1557853314,115.413002,1.488,0.186,27.341999
dish_1562687246,115.4216,0.601127,11.899805,2.317261
dish_1559238435,115.544006,0.808,0.202,30.703999
dish_1559245654,115.544006,0.808,0.202,30.703999
dish_1558115011,115.620003,4.48,9.9,4.54
dish_1558381032,115.620003,4.48,9.9,4.54
dish_1558458903,115.620003,4.48,9.9,4.54
dish_1564590115,115.805847,1.180488,2.951219,21.248781
dish_1560453294,115.954453,16.2197,2.781752,5.698969
dish_1559239985,116.116005,0.812,0.203,30.855999
dish_1559240875,116.116005,0.812,0.203,30.855999
dish_1559242155,116.116005,0.812,0.203,30.855999
dish_1559242568,116.116005,0.812,0.203,30.855999
dish_1559243704,116.116005,0.812,0.203,30.855999
dish_1559245979,116.116005,0.812,0.203,30.855999
dish_1562097653,116.16552,3.374529,5.921285,14.058498
dish_1560443437,116.279999,1.428,0.612,28.559999
dish_1564169197,116.449997,5.5,6.5,8.95
dish_1558639630,116.709999,3.41,2.64,24.200001
dish_1558641253,116.709999,3.41,2.64,24.200001
dish_1566316681,116.762924,1.190244,2.97561,21.424391
dish_1565811529,116.842033,2.101721,10.860431,4.392354
dish_1563294465,116.949997,1.414,0.391,30.293999
dish_1563897369,117.013657,1.591805,2.395512,23.020489
dish_1560367153,117.181976,10.151685,6.299616,13.828617
dish_1561662190,117.318321,2.39816,3.98708,18.392817
dish_1561574623,117.602783,13.90319,4.01018,7.020422
dish_1558637247,117.770996,3.441,2.664,24.42
dish_1563389446,117.787598,3.871456,8.123614,10.055328
dish_1563909507,117.925575,2.891765,9.166178,8.186116
dish_1560802092,118.031128,15.151614,3.66739,5.990827
dish_1563897837,118.470001,1.925,0.709,29.568001
dish_1561134156,118.540001,1.696,0.342,28.776001
dish_1558631825,118.832001,3.472,2.688,24.639999
dish_1558632475,118.832001,3.472,2.688,24.639999
dish_1563567978,118.96312,15.666928,13.726029,3.8764
dish_1558029686,119.019997,8.14,9.24,0.308
dish_1563295292,119.019997,8.14,9.24,0.308
dish_1562686664,119.129997,1.463,0.627,29.26
dish_1561578226,119.220253,4.281533,6.628325,13.898274
dish_1561148303,119.654999,5.04,4.23,15.075001
dish_1563568263,119.654999,5.04,4.23,15.075001
dish_1565987269,119.654999,5.04,4.23,15.075001
dish_1562009810,119.880005,2.808,0.972,24.84
dish_1561575474,120.058434,2.990431,4.966118,17.412746
dish_1562008476,120.505836,10.764524,6.163932,6.287506
dish_1560270630,120.560005,1.646,0.18,29.436001
dish_1562613898,120.636047,4.350647,6.026607,15.197055
dish_1565727791,121.074005,10.278,6.6,6.161
dish_1566316496,121.098083,0.630691,12.485043,2.431224
dish_1561062586,121.193924,2.566732,3.318568,20.365366
dish_1560543682,121.259995,1.806,5.848001,15.48
dish_1558639588,121.401001,4.704,10.395,4.767
dish_1565811335,121.479324,5.656456,3.380213,19.854195
dish_1562603569,121.679504,5.648293,7.050731,8.625269
dish_1565725095,121.720001,3.149,5.134,19.185001
dish_1566933454,121.741409,3.66512,8.774585,9.049747
dish_1562602803,121.742279,9.310214,5.278155,10.074251
dish_1567020054,122.001411,14.210079,11.540041,7.937456
dish_1562085672,122.084,6.21,1.932,19.458
dish_1559844657,122.110001,2.287,0.248,29.200001
dish_1560454539,122.274002,3.84549,4.748726,17.543842
dish_1558632233,122.604004,4.486,2.714,23.712
dish_1561575192,122.989189,4.637902,8.137642,11.167095
dish_1562614121,123.492508,3.395248,9.446692,8.716035
dish_1566317711,123.760002,4.368,2.548,21.84
dish_1565034635,124.089249,2.100204,11.76551,4.257738
dish_1561663541,124.32,2.912,1.008,25.76
dish_1566922978,124.32,8.400001,9.24,1.344
